code,iso,country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
308,GRD,Grenada,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
320,GTM,Guatemala,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
831,GGY,Guernsey,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
324,GIN,Guinea,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
624,GNB,Guinea-Bissau,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
328,GUY,Guyana,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
332,HTI,Haiti,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
336,VAT,Holy See,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
340,HND,Honduras,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
344,HKG,Hong Kong,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
